passage_id,question,passage
2001_1371.txt-Art. 64.,"Do czego jest obowiązany inspektor w przypadku, gdy w wyniku użycia broni palnej doszło do wyrządzenia szkody w mieniu?","1. Jeżeli wskutek użycia broni palnej następuje zranienie lub zachodzi podejrzenie śmierci osoby, inspektor jest obowiązany, bez zbędnej zwłoki, do udzielenia pierwszej pomocy i niezwłocznego wezwania lekarza oraz powiadomienia najbliższej jednostki Policji. 2. W przypadkach, o których mowa w ust. 1, oraz gdy w wyniku użycia broni palnej doszło do wyrządzenia szkody w mieniu, inspektor jest obowiązany ponadto do zabezpieczenia śladów na miejscu zdarzenia i niedopuszczenia na to miejsce osób trzecich oraz jeżeli jest to możliwe "" ustalenia świadków zdarzenia."
1997_555.txt-Art. 235.,"Jeśli ustawa nie stanowi inaczej, w jakim postępowaniu dokonuje czynności prokurator?","Sąd dokonuje czynności przewidzianych w tym rozdziale w postępowaniu sądowym, a prokurator w postępowaniu przygotowawczym, chyba że ustawa stanowi inaczej."
1997_555.txt-Art. 357.,"Jakie pozwolenia sąd może wydać przedstawicielom radia, telewizji, filmu i prasy?","§ 1. Sąd może zezwolić przedstawicielom radia, telewizji, filmu i prasy na dokonywanie za pomocą aparatury utrwaleń obrazu i dźwięku z przebiegu rozprawy, gdy uzasadniony interes społeczny za tym przemawia, dokonywanie tych czynności nie będzie utrudniać prowadzenia rozprawy, a ważny interes uczestnika postępowania temu się nie sprzeciwia. § 2. Sąd może określić warunki, od których uzależnia wydanie zezwolenia przewidzianego w § 1."
2004_879.txt-Art. 31.,"Które dane powinno zawierać zaświadczenie kierowcy, które on musi przedstawić do przeprowadzenia kontroli?","1. Kierowca, który w określonych dniach nie prowadził pojazdu albo prowadził pojazd, do którego nie mają zastosowania przepisy rozporządzenia nr 3820/85/EWG, na żądanie osoby uprawnionej do przeprowadzenia kontroli przedstawia zaświadczenie, które powinno zawierać w szczególności następujące dane: imię i nazwisko kierowcy, okres, którego dotyczy, wskazanie przyczyny nieposiadania wykresówek, o których mowa w art. 15 ust. 7 rozporządzenia nr 3821/85/EWG, miejsce i data wystawienia, podpis pracodawcy. 2. Zaświadczenie, o którym mowa w ust. 1, pracodawca wystawia i wręcza kierowcy przed rozpoczęciem przez kierowcę przewozu drogowego. W przypadku gdy kierowca w określonych dniach nie prowadził pojazdu w trakcie wykonywania danego zadania przewozowego, pracodawca niezwłocznie wystawia i przekazuje zaświadczenie na żądanie osoby uprawnionej do przeprowadzenia kontroli. 3. Przepisy ust. 1 i 2 stosuje się odpowiednio do przedsiębiorcy osobiście wykonującego przewozy drogowe, z tym że przedsiębiorca przedkłada stosowne oświadczenie. Rozdział 5 Przepisy końcowe"
2001_1229.txt-Art. 154.,Przez kogo jest prowadzony kataster wodny dla obszaru państwa?,"1. Kataster wodny, o którym mowa w art. 153, prowadzi się dla obszaru państwa z uwzględnieniem podziału państwa na obszary dorzeczy i regiony wodne. 2. Kataster wodny dla obszaru państwa prowadzony jest przez Prezesa Krajowego Zarządu i obejmuje dane określone w art. 153 ust. 2 pkt 1-3 i 10 oraz w ust. 3. 3. Kataster wodny dla regionu wodnego prowadzony jest przez dyrektora regionalnego zarządu i obejmuje dane określone w art. 153 ust. 2 i 3."
2001_1403.txt-Art. 17.,Kto mianuje lub odwołuje Ambasadora?,"1. Ambasadora mianuje i odwołuje Prezydent Rzeczypospolitej Polskiej na wniosek ministra właściwego do spraw zagranicznych, zaakceptowany przez Prezesa Rady Ministrów. 2. Ambasador, z zastrzeżeniem art. 16 pkt 2, podlega służbowo ministrowi właściwemu do spraw zagranicznych. 3. Prezes Rady Ministrów, na wniosek ministra właściwego do spraw zagranicznych, określi, w drodze zarządzenia, formę i tryb wydawania poleceń ambasadorowi, kierując się zadaniami służby zagranicznej i potrzebami polityki państwa."
1999_802.txt-Art. 25.,W jakich przypadkach można zwolnić funkcjonariusza celnego ze służby?,"1. Funkcjonariusza celnego zwalnia się ze służby w wypadku: 1) orzeczenia trwałej niezdolności do służby, 2) wymierzenia kary dyscyplinarnej wydalenia ze służby, 3) skazania prawomocnym wyrokiem sądu za przestępstwo popełnione umyślnie, 4) zrzeczenia się obywatelstwa polskiego, 5) nieprzydatności do służby, stwierdzonej w ocenie okresowej lub opinii służbowej w okresie służby przygotowawczej, 6) odmowy złożenia ślubowania, 7) prawomocnego orzeczenia utraty praw publicznych, 8) prawomocnego orzeczenia zakazu wykonywania zawodu funkcjonariusza celnego, 9) odmowy wykonania decyzji w sprawie przeniesienia, o którym mowa w art. 18 ust. 2 i 4, 10) zgłoszenia przez funkcjonariusza celnego pisemnego żądania zwolnienia ze służby, 11) trwałej utraty zdolności fizycznej lub psychicznej do pełnienia służby na zajmowanym stanowisku, stwierdzonej przez lekarza orzecznika Zakładu Ubezpieczeń Społecznych, jeżeli nie ma możliwości pełnienia służby przez funkcjonariusza celnego na innym stanowisku, odpowiednim do jego stanu zdrowia i kwalifikacji zawodowych albo gdy funkcjonariusz celny odmawia przejścia na takie stanowisko. 2. W wypadku zgłoszenia pisemnego żądania zwolnienia, o którym mowa w ust. 1 pkt 10, funkcjonariusza celnego zwalnia się ze służby w terminie do 3 miesięcy od dnia tego zgłoszenia. 3. Odwołanie osób powołanych na wyższe stanowiska kierownicze w jednostkach organizacyjnych Służby Celnej regulują przepisy Kodeksu celnego. 4. Odwołanie, o którym mowa w ust. 3 powoduje, z zastrzeżeniem ust. 5 i 6, zwolnienie z jednostki organizacyjnej Służby Celnej. 5. Jeżeli osoby, o których mowa w ust. 3, były powołane spośród funkcjonariuszy celnych, to ich odwołanie ze stanowiska nie powoduje zwolnienia ze służby, a wyznaczenie stanowisk, na których będą pełnić służbę po odwołaniu należy do kompetencji kierownika urzędu, w którym poprzednio pełnili służbę. 6. Do pracowników administracyjnych zatrudnionych przed powołaniem w jednostkach organizacyjnych Służby Celnej ust. 5 stosuje się odpowiednio."
1999_802.txt-Art. 57.,"Co przysługuje funkcjonariuszowi celnemu, który na podstawie innych przepisów wykonuje stałe zadania służbowe poza polskim obszarem celnym?","1. Funkcjonariuszowi celnemu, który na podstawie innych przepisów wykonuje stałe zadania służbowe poza polskim obszarem celnym przysługuje ryczałt na pokrycie kosztów wyżywienia i innych drobnych wydatków. 2. Minister właściwy do spraw finansów publicznych  określi, w drodze rozporządzenia, walutę i wysokość ryczałtu, o którym mowa w ust. 1. Wysokość ryczałtu należy określić w zależności od liczby godzin wykonywania zadań przez funkcjonariusza celnego na dobę."
1997_933.txt-Art. 2.,Co jest przedmiotem działalności funduszu inwestycyjnego?,"1. Fundusz inwestycyjny jest osobą prawną, której wyłącznym przedmiotem działalności jest lokowanie środków pieniężnych zebranych publicznie w określone w ustawie papiery wartościowe i inne prawa majątkowe. 2. Fundusz inwestycyjny prowadzi działalność, przestrzegając zasad ograniczania ryzyka inwestycyjnego określonych w ustawie. 3. Organizację i sposób działania funduszu inwestycyjnego określają ustawa oraz jego statut."
1997_776.txt-Art. 52.,Kto jest obowiązany do udzielania pomocy Instytutowi Pamięci w realizacji zadań Instytutu?,"Organy wymiaru sprawiedliwości, prokuratury, organy i jednostki organizacyjne podległe, nadzorowane lub podporządkowane Ministrowi Spraw Wewnętrznych i Administracji, Ministrowi Obrony Narodowej, Ministrowi Spraw Zagranicznych i Szefowi Urzędu Ochrony Państwa oraz organy administracji rządowej i samorządu terytorialnego są obowiązane, każdy w zakresie swojego działania, do udzielania pomocy Instytutowi Pamięci w realizacji zadań Instytutu Pamięci, o których mowa w art. 1. Rozdział 6 Funkcje edukacyjne Instytutu Pamięci"
2004_287.txt-Art. 10.,Jak długi może być okres zawieszenia wykonywania obowiązków powiatowego lekarza weterynarii przez Głównego Lekarza Wterynarii?,"1. Główny Lekarz Weterynarii może zawiesić w wykonywaniu obowiązków wojewódzkiego, powiatowego lub granicznego lekarza weterynarii lub jego zastępcę, jeżeli jego działalność lub działalność kierowanego przez niego inspektoratu może zagrozić prawidłowemu wykonywaniu zadań Inspekcji, a zwłaszcza naruszyć bezpieczeństwo sanitarno-weterynaryjne na obszarze właściwości tych organw. Podejmując decyzję o zawieszeniu, Główny Lekarz Weterynarii wyznacza osobę pełniącą obowiązki zawieszonego organu. 2. Okres zawieszenia, o którym mowa w ust. 1, trwa do czasu zakończenia postępowania wyjaśniającego lub dyscyplinarnego w rozumieniu przepisów o służbie cywilnej. 3. W stosunku do powiatowego lekarza weterynarii i jego zastępcy kompetencje Głównego Lekarza Weterynarii, o których mowa w ust. 1, przysługują wojewódzkiemu lekarzowi weterynarii."
1995_713.txt-Art. 14.,"Kogo zarządcy obwodów łowieckich są obowiązani zawiadomić o dostrzeżonych objawach chorób zwierząt dziko żyjących, które mogą być przeniesione na ludzi?","Dzierżawcy i zarządcy obwodów łowieckich oraz właściciele, posiadacze i zarządcy gruntów są obowiązani zawiadomić urząd gminy lub organy weterynaryjne o dostrzeżonych objawach chorób zwierząt dziko żyjących, które mogą być przeniesione na ludzi lub zwierzęta gospodarskie (enzootycznych chorób zwierzyny), a następnie podporządkować się wydanym rozporządzeniom."
1994_344.txt-Art. 14.,Co jest podstawowym trybem udzielania zamówienia publicznego?,Podstawowym trybem udzielania zamówienia publicznego jest przetarg nieograniczony.
1999_930.txt-Art. 110.,"Jakiej karze podlegają ci, którzy, nie będąc do tego uprawnionymi, z chęci osiągnięcia korzyści majątkowej trudnią się sprzedażą losów?","Kto, nie będąc do tego uprawnionym, z chęci osiągnięcia korzyści majątkowej trudni się sprzedażą losów lub innych dowodów udziału w grze losowej lub zakładzie wzajemnym, podlega karze grzywny do 360 stawek dziennych albo karze ograniczenia wolności, albo obu tym karom łącznie."
2004_1807.txt-Art. 17.,Na jakich zasadach wykonuje działalność przedsiębiorca?,Przedsiębiorca wykonuje działalność gospodarczą na zasadach uczciwej konkurencji i poszanowania dobrych obyczajów oraz słusznych interesów konsumentów.
1995_1.txt-Art. 26.,Jaki musi być dochód osoby bezrobotnej żeby zachowywać status bezrobotnego w przypadku gdy podjęła zatrudnienie?,"1. Zachowuje status bezrobotnego oraz prawo do zasiłku bezrobotny, który po upływie co najmniej 30 dni od dnia zarejestrowania w rejonowym urzędzie pracy: 1) podjął zatrudnienie lub inną pracę zarobkową i uzyskuje dochód w wysokości niższej od połowy najniższego wynagrodzenia albo 2) uzyskuje dochód z innego tytułu, w wysokości określonej w pkt 1, z wyłączeniem osób, o których mowa w art. 2 ust. 1 pkt 2 lit. d i f. 2. Bezrobotny jest obowiązany zawiadomić niezwłocznie rejonowy urząd pracy o podjęciu zatrudnienia, innej pracy zarobkowej lub działalności."
2000_136.txt-Art. 60.,W którym dniu kolejowe stacje sanitarno-epidemiologiczne zostają przyjęte przez powiatowe stacje sanitarno-epidemiologiczne?,"1. Prezes Rady Ministrów ustali najpóźniej do dnia 30 kwietnia 2000 r., w drodze rozporządzenia, wykaz kolejowych stacji sanitarno-epidemiologicznych oraz właściwe dla nich powiatowe stacje sanitarno-epidemiologiczne, a także sposób i tryb podziału kolejowych stacji sanitarno-epidemiologicznych, jeżeli obszar działania tych stacji obejmował więcej niż jeden powiat. 2. Z dniem 1 stycznia 2001 r.: 1) kolejowe stacje sanitarno-epidemiologiczne wchodzą w skład właściwych powiatowych stacji sanitarno-epidemiologicznych, 2) wygasają akty powołania kolejowych inspektorów sanitarnych, 3) zadania i kompetencje Inspekcji Sanitarnej wykonywane dotychczas przez kolejowych inspektorów sanitarnych przejmują właściwi powiatowi inspektorzy sanitarni, 4) pracownicy kolejowych stacji sanitarno-epidemiologicznych stają się pracownikami właściwych powiatowych stacji sanitarno-epidemiologicznych, 5) budynki, urządzenia oraz inne składniki mienia, będące we władaniu kolejowych stacji sanitarno-epidemiologicznych, przechodzą we władanie właściwych powiatowych stacji sanitarno-epidemiologicznych na zasadach dotychczasowych, 6) powiatowe stacje sanitarno-epidemiologiczne przejmują zobowiązania i należności kolejowych stacji sanitarno-epidemiologicznych. 3. Z dniem przejęcia kolejowych stacji sanitarno-epidemiologicznych przez powiatowe stacje sanitarno-epidemiologiczne tracą moc wpisy kolejowych stacji sanitarno-epidemiologicznych do rejestrów zakładów opieki zdrowotnej. 4. Powiatowe stacje sanitarno-epidemiologiczne dostosują statuty oraz dokonają zmian we wpisach do rejestru zakładów opieki zdrowotnej w terminie do dnia 31 maja 2001 r."
2001_679.txt-Art. 39.,"Jakij karze podlegają osoby, które utrudniają przeprowadzenie przez uprawnione organy kontroli działalności gospodarczej w zakresie wytwarzania lub obrotu bronią?","1. Kto utrudnia przeprowadzenie przez uprawnione organy kontroli działalności gospodarczej w zakresie wytwarzania lub obrotu materiałami wybuchowymi, bronią, amunicją oraz wyrobami i technologią o przeznaczeniu wojskowym lub policyjnym, podlega karze  grzywny. 2. Orzekanie w sprawie, o której mowa w ust. 1, następuje w trybie  przepisów Kodeksu postępowania w sprawach o wykroczenia. Rozdział 7 Przepisy zmieniające, przejściowe i końcowe."
1998_576.txt-Art. 78.,Kto sprawuje nadzór nad działalnością samorządu w zakresie spraw finansowych?,"1. Nadzór nad działalnością samorządu województwa sprawuje Prezes Rady Ministrów i wojewoda, a w zakresie spraw finansowych - regionalna izba obrachunkowa. 2. Organy nadzoru mogą wkraczać w działalność województwa tylko w przypadkach określonych ustawami."
2001_1380.txt-Art. 22.,Kto może przeprowadzać badania kliniczne wyrobów medycznych?,"1. Wytwórca wyrobu medycznego przeznaczonego do badań klinicznych przeprowadza postępowanie w sprawie oceny klinicznej wyrobu medycznego. 2. Badania klinicznie wyrobów medycznych przeprowadzają jednostki spełniające wymagania organizacyjne oraz w zakresie wyposażenia i kwalifikacji personelu. 3. Minister właściwy do spraw zdrowia określi, w drodze rozporządzenia, wymagania, jakie powinny spełniać jednostki prowadzące badania kliniczne, i sposób przeprowadzania oceny klinicznej wyrobów medycznych, uwzględniając w szczególności wymagania bezpieczeństwa dla ludzkiego życia i zdrowia podczas prowadzenia badań."
1997_553.txt-Art. 105.,"Przepisów których artkułów nie stosuje się do zbrodni przeciwko pokojowi, ludzkości i przestępstw wojennych?","§ 1. Przepisów art. 101-103 nie stosuje się do zbrodni przeciwko pokojowi, ludzkości i przestępstw wojennych. § 2. Przepisów art. 101-103 nie stosuje się również do umyślnego przestępstwa: zabójstwa, ciężkiego uszkodzenia ciała, ciężkiego uszczerbku na zdrowiu lub pozbawienia wolności łączonego ze szczególnym udręczeniem, popełnionego przez funkcjonariusza publicznego w związku z pełnieniem obowiązków służbowych. Rozdział XII Zatarcie skazania“"
1996_113.txt-Art. 49.,Kto określa zasady odpowiedzialności dyscyplinarnej za naruszenie przepisów antydopingowych?,"1. Zawodnicy są obowiązani poddawać się kontrolnym badaniom antydopingowym. 2. Za stosowanie dopingu zawodnik ponosi odpowiedzialność dyscyplinarną. Odpowiedzialność tą ponoszą również trenerzy, działacze oraz inne osoby, którym udowodnione zostanie naruszenie przepisów antydopingowych. 3. Prezes Urzędu Kultury Fizycznej i Turystyki określa, w drodze zarządzenia, zasady odpowiedzialności dyscyplinarnej za naruszenie przepisów antydopingowych. 4. Prezes Urzędu Kultury Fizycznej i Turystyki w porozumieniu z Ministrem Zdrowia i Opieki Społecznej określa, w drodze zarządzenia, placówki odpowiedzialne za przeprowadzenie analiz antydopingowych oraz tryb, sposób i zasady odpłatności za kontrolne badania antydopingowe. Rozdział 10 Zasady bezpieczeństwa w dziedzinie kultury fizycznej"
2001_1081.txt-Art. 11.,W jakim terminie konsument może odstąpić od umowy o kredyt konsumencki bez nadania przyczyny?,"1. Konsument, z zastrzeżeniem ust. 5 i art. 12 ust. 1, może bez podania przyczyny, odstąpić od umowy o kredyt konsumencki w terminie 3 dni od dnia zawarcia umowy. Jeżeli umowa o kredyt konsumencki nie zawierała informacji o uprawnieniu do odstąpienia od umowy, konsument może odstąpić od umowy w terminie 10 dni od dnia otrzymania pisemnej informacji o prawie odstąpienia od umowy, nie później jednak niż w terminie 2 miesięcy od dnia zawarcia umowy. 2. Kredytodawca obowiązany jest przy zawarciu umowy wręczyć konsumentowi wzór oświadczenia o odstąpieniu od umowy z oznaczeniem swojego imienia, nazwiska (nazwy) i adresu zamieszkania (siedziby). 3. Termin do odstąpienia od umowy jest zachowany, jeżeli konsument przed jego upływem złoży pod wskazanym przez kredytodawcę adresem oświadczenie o odstąpieniu od umowy. W razie spełnienia świadczenia przez kredytodawcę przed upływem terminu do odstąpienia od umowy odstąpienie staje się skuteczne, jeżeli świadczenie zostanie zwrócone kredytodawcy łącznie z oświadczeniem o odstąpieniu od umowy, z zastrzeżeniem ust. 4. 4. Jeżeli spełnienie świadczenia przez kredytodawcę nastąpiło na rzecz podmiotu, od którego konsument nabył rzecz lub usługę i między tym podmiotem a kredytodawcą istnieje umowa regulująca zasady udzielania kredytu konsumenckiego na nabycie rzeczy lub usługi, konsument może odstąpić od umowy o kredyt konsumencki poprzez złożenie oświadczenia, o którym mowa w ust. 3. Warunki zwrotu świadczenia kredytodawcy określa umowa zawarta między podmiotem, od którego konsument nabył rzecz lub usługę, a kredytodawcą. 5. Przed upływem terminu do odstąpienia od umowy konsument nie jest zobowiązany do spłaty kredytu ani zapłaty oprocentowania. W razie odstąpienia od umowy kredytodawca obowiązany jest niezwłocznie zwrócić poniesione przez konsumenta na rzecz kredytodawcy koszty udzielanego kredytu, z wyjątkiem opłaty przygotowawczej oraz pobranych przez kredytodawcę opłat związanych z ustanowieniem zabezpieczenia. 6. Prawo do odstąpienia od umowy nie przysługuje konsumentowi w razie zawarcia umowy o kredyt konsumencki przeznaczony na nabycie rzeczy lub prawa, których cena zależy wyłącznie od ruchu cen na rynku finansowym lub giełdowym. 7. Kredytobiorca jest uprawniony do odstąpienia od umowy, o której mowa w art. 2 ust. 2 pkt 6, przed uzyskaniem kredytu. Za okres utrzymywania wniesionych środków pieniężnych należy mu się oprocentowanie określone w umowie, nie niższe jednak niż  określone na podstawie art. 7 ust. 4 i 5. 8. W przypadku odstąpienia od umowy, o której mowa w ust. 7, kredytodawca obowiązany jest rozliczyć się z konsumentem w terminie 14 dni od dnia odstąpienia od umowy."
1996_465.txt-Art. 120.,Do czego jest uprawniony komandytariusz?,"§1. Komandytariusz ma prawo żądać odpisu sprawozdania finansowego za rok obrotowy oraz przeglądać księgi i dokumenty celem sprawdzenia jego rzetelności. §2. Na wniosek komandytariusza sąd rejestrowy może, z ważnych powodów, zarządzić w każdym czasie udostępnienie mu sprawozdania finansowego lub złożenie innych wyjaśnień, jak również dopuścić komandytariusza do przejrzenia ksiąg i dokumentów. §3. Umowa spółki nie może wyłączyć ani ograniczyć uprawnień komandytariusza, o których mowa w § 1 i § 2."
1996_615.txt-Art. 6.,"Gdzie Bank Gospodarstwa Krajowego przekazuje środki uzyskane od banku, który udzielił kredyt, który został w części lub w całości wykorzystany niezgodnie z przeznaczeniem?","1. Dopłaty nie mogą być stosowane, jeżeli bank, który udzielił kredytu, stwierdził, że: 1) kredyt został w części lub w całości wykorzystany niezgodnie z przeznaczeniem, 2) wybudowane przez gminę mieszkania komunalne nie zostały przydzielone osobom, które w wyniku powodzi utraciły lokal mieszkalny lub budynek mieszkalny. 2. W przypadkach, o których mowa w ust. 1, kredytobiorca jest obowiązany do spłaty odsetek w pełnej wysokości wynikającej z umowy kredytu za okres korzystania z kredytu, a bank udzielający kredytu zwróci niezwłocznie Bankowi Gospodarstwa Krajowego kwotę otrzymanych dotychczas dopłat do oprocentowania tego kredytu. 3. Środki, o których mowa w ust. 2, Bank Gospodarstwa Krajowego przekazuje niezwłocznie do budżetu państwa. 4. Dopłaty nie mogą być stosowane do oprocentowania kredytu udzielonego na roboty, o których mowa w art. 3 ust. 1 i 2, jeżeli na ich wykonanie w danym obiekcie była udzielona pożyczka lub kredyt ze środków Krajowego Funduszu Mieszkaniowego albo kredyt z dopłatami do oprocentowania na podstawie niniejszej ustawy lub przepisów odrębnych; nie dotyczy to szkód powstałych w wyniku kolejnej powodzi."
1995_481.txt-Art. 11.,W którym okresie czasu wierni Kościoła mają prawo do zwolnienia od pracy i nauki na czas święta adwentystycznego?,"1. Świętem adwentystycznym jest sobota. 2. Wierni Kościoła mają prawo do zwolnienia od pracy i nauki na czas święta adwentystycznego, to jest od zachodu słońca w piątek do zachodu słońca w sobotę. 3. Na prośbę pracownika złożoną na początku okresu zatrudnienia lub w jego trakcie, nie później jednak niż 7 dni przed dniem zwolnienia, zakład pracy ustala dla niego indywidualny rozkład czasu pracy. Przepis ten stosuje się odpowiednio do uczniów i studentów, z tym że szkoły udzielając zwolnień od nauki określają sposób wyrównania zaległości dydaktycznych spowodowanych zwolnieniem."
2001_639.txt-Art. 43.,Ile może wynosić kapitał zakładowy spółek akczyjnych-organizacji do 1 stycznia 2003 r.?,Do dnia 1 stycznia 2003 r. kapitał zakładowy spółek akcyjnych-organizacji odzysku może wynosić 500 tys. zł.
